Feature,Importance
GAPDH,32
IFITM2,30
HLA-G,23
TMSB10,21
BCL2L1,20
C1orf56,20
CDC73,18
MYO1F,15
DDX3X,14
ATXN1,14
GZMH,13
DUSP4,11
PFN1,11
MED13,11
SH3BGRL3,11
ANXA5,11
PLA2G16,10
SYNE2,10
ATP6V0D1,10
FAIM3,10
ALG9,10
DNAJB11,9
IARS,9
TAGLN2,9
ARGLU1,9
CLIC1,9
EEF1G,9
SRGN,9
MVD,9
ITGA4,8
PSMB8,8
SURF4,8
ZMAT5,8
CTSC,8
TMEM66,8
DOCK8,8
HCST,7
HNRNPL,7
MT2A,7
RAD54L2,7
FRG1B,7
HLA-B,7
B2M,7
RBM27,7
TXNDC12,7
ID2,7
BSG,7
CECR1,7
UBA52,7
LCP1,7
TNRC6B,7
UBB,7
HNRNPU,7
CLK1,7
EXO5,7
LYAR,7
TTN,7
SHISA5,6
SH3BGRL,6
IRF1,6
ETV6,6
HSP90AB1,6
IQSEC1,6
FOSL2,6
ATP6V1F,6
PRF1,6
CDC42SE2,6
ARHGEF1,6
C1orf63,6
HLA-DRB5,6
EIF4A1,6
ITGB1BP1,6
CEBPZ,6
NKG7,6
TOMM7,6
VIMP,6
SLC25A6,6
LAMA5,6
HSF1,6
HSP90B1,6
RNF149,5
CAPZA1,5
ERO1L,5
HNRNPD,5
YWHAZ,5
SLC39A11,5
PRDX1,5
LIMD2,5
TMA7,5
EIF4A2,5
ARPC1B,5
HLA-DQA2,5
SRSF11,5
SQSTM1,5
TCF3,5
RARRES3,5
CBX6,5
SAR1A,5
LDHA,5
RHOA,5
CD3E,5
MYL12B,5
TMC6,5
MYL6,5
EIF2S3,5
S100A6,5
SLC35E2,5
STARD3,5
EIF3M,5
S100A10,5
DEF6,5
GNB2L1,5
RHOH,5
ZNHIT1,5
ARHGDIA,5
FTL,5
XCL2,5
STK17B,5
SH2D2A,5
COX7C,5
CD97,5
FLNA,5
CNST,5
RBM39,4
PPP2R5C,4
ANXA7,4
TNFAIP3,4
AES,4
IGHG1,4
TSPYL1,4
EEF1D,4
PTPRC,4
SLC38A1,4
KLF6,4
UBE2L6,4
IQGAP1,4
PAIP2,4
HNRNPK,4
KDM4C,4
MYH9,4
LYST,4
TMEM14B,4
RNF213,4
CD37,4
MKLN1,4
NPIPB5,4
CD6,4
SAP18,4
SBNO2,4
SPOCK2,4
RBMX,4
UBBP4,4
CD46,4
BRD2,4
XPO1,4
LITAF,4
HNRNPA1,4
CST7,4
SET,4
P4HB,4
ACTB,4
SPDYE2,4
COX4I1,4
ANKRD10,4
TRA2A,4
RGPD6,4
CD53,4
HIST2H2AA3,4
CHP1,4
POLR2J3,4
RABGAP1L,4
HIGD1A,4
TMBIM6,4
MAPRE1,4
LDHB,4
UBC,4
SRSF3,4
KIAA1551,4
HLA-DRB1,4
MAGOHB,4
WIPF1,4
ARIH2,4
SLC9A3R1,4
BRK1,4
PRRC2C,4
HCLS1,4
NPIPB4,4
EMB,4
ARHGAP25,4
OST4,4
FXYD5,3
CHORDC1,3
GOLGA2,3
SUN2,3
ATAD1,3
CDC42,3
MMADHC,3
MRFAP1,3
PHC3,3
ANKRD36,3
HLA-A,3
SRSF5,3
TRA2B,3
MSN,3
SPDYE1,3
INTS4,3
CD74,3
ARID1B,3
CELF2,3
ERAP2,3
TMSB4X,3
ITM2B,3
RASGEF1B,3
ATG2B,3
DDIT4,3
ACAP1,3
PACS1,3
GNG2,3
FNBP1,3
NAP1L4,3
WDR33,3
ZFP36,3
RQCD1,3
