Feature,Importance
ZFC3H1,3
WHSC1L1,3
IDS,3
TRAPPC1,3
PTMA,3
PPP1R16B,3
CFL1,3
VMP1,3
NLRC5,3
IFITM1,3
BUB3,3
PTP4A2,3
BTG2,3
STAT1,3
NR4A2,3
TGFBR3,3
LSP1,3
ANKRD44,3
CCDC109B,3
FAU,3
CEP350,3
EIF1,3
BDP1,3
CTSD,3
B4GALT1,3
ELOVL1,3
MATR3,3
RBM8A,3
RASSF3,3
LRBA,3
CASP2,3
SQRDL,3
SLFN13,3
RAB8B,3
RC3H1,3
DOCK2,3
RNF19A,3
ST6GALNAC6,3
VAMP8,3
LRRFIP1,3
SAT1,3
PSME1,3
ITGAE,3
CFLAR,3
SUCLG1,3
FNBP4,3
H3F3B,3
SAR1B,3
INPP5B,3
CTSW,3
TUFM,3
HLA-DQA1,3
SF1,3
LAPTM5,3
PRELID1,3
GZMB,3
NGLY1,3
ATP5E,3
UBXN11,3
DAZAP2,3
CCL4,3
LPXN,3
GOLGA8B,3
NPM1,3
PRKCB,3
PSIP1,3
CMTM6,3
DDX55,3
NIPBL,3
NPIPB3,3
NDUFA7,3
DDX19A,3
SUMO2,3
NARF,3
VPS29,3
MCL1,3
FDFT1,3
ROCK1,3
SERF2,3
PIM2,3
ARHGDIB,3
RAB1A,3
TAB2,3
FAM49B,3
NAA16,3
FAM120B,2
ADRM1,2
NOTCH2,2
MED12,2
PDCD4,2
OGDH,2
TMED4,2
IL7R,2
FGD4,2
HNRNPH1,2
SETD1B,2
LCP2,2
CPSF1,2
SMPD4,2
RHOF,2
SRSF7,2
SUB1,2
OTUB1,2
MBOAT1,2
RNF114,2
ERLEC1,2
C2orf68,2
CD164,2
HNRNPR,2
COA4,2
CCNDBP1,2
PTBP1,2
GPX4,2
ADNP,2
TUBA1C,2
ATRX,2
CELF1,2
EML4,2
DNAJB14,2
SERPINB9,2
TRAPPC6A,2
STIM1,2
SYT11,2
NXF1,2
ANKHD1,2
TRABD,2
DYNLRB1,2
CHCHD3,2
HSPA9,2
TLN1,2
ZBTB1,2
C5orf45,2
CREM,2
DAB2,2
SUCO,2
GLUD1,2
RBBP4,2
PFKFB3,2
FOSB,2
TFRC,2
NDUFB4,2
FBXO21,2
TIMM10,2
TAPBP,2
DHX38,2
REL,2
NDUFA13,2
SON,2
ARID4B,2
WSB1,2
PDIA3,2
PDS5A,2
DUSP1,2
ARF6,2
NBR1,2
CHCHD2,2
TC2N,2
SRSF2,2
UBE2G2,2
EIF4G3,2
POLR2A,2
TRAPPC10,2
CCL5,2
PRDX6,2
ZBED5,2
FTH1,2
ATP5G1,2
RGPD5,2
SUMF2,2
CIB1,2
HLA-DQB2,2
RAB6A,2
WTAP,2
GRB2,2
RBM38,2
ARMCX3,2
GON4L,2
PPP6C,2
CNOT7,2
SEMA4D,2
TXNIP,2
STK38,2
PI4KA,2
IGKC,2
KCTD20,2
CLDND1,2
LSM12,2
HNRNPF,2
WARS,2
TCEA1,2
PCNX,2
DDX17,2
C3AR1,2
EIF5,2
SFSWAP,2
MON2,2
DDX39A,2
OSTF1,2
RAC2,2
LCK,2
MACF1,2
JUNB,2
UBR2,2
YPEL5,2
SH3KBP1,2
PDLIM2,2
CSDE1,2
LAMTOR4,2
TBC1D10C,2
EPSTI1,2
ZNF76,2
TAF6,2
EXOC4,2
SELPLG,2
ALDOA,2
NAA50,2
TIMM8B,2
TYMP,2
PLEKHF2,2
YWHAB,2
HSPD1,2
RAP2B,2
ARHGAP15,2
NDUFV1,2
GDI1,2
SRRM2,2
THRAP3,2
IKZF3,2
CTNNB1,2
GZMK,2
SSU72,2
TCEB2,2
RGS2,2
PIP4K2A,2
IL15RA,2
ERAP1,2
CHD2,2
LYPLA1,2
FAM96B,2
PRKCH,2
ZNF430,2
TPI1,2
ZHX2,2
NLRP1,2
MPHOSPH8,2
NBEAL1,2
CHD4,2
DHDDS,2
RP11-166B2.1,2
LSM14A,2
EEF1B2,2
INSIG1,2
ALKBH6,2
PSMF1,2
MECP2,2
HIF1A,2
EIF3A,2
SRSF6,2
NUP62,2
PPME1,2
SLC25A5,2
PABPC1,2
ANKRD12,2
ZFP36L1,2
CD58,2
MAPK1IP1L,2
LUC7L3,2
NDUFA3,2
WDR83OS,2
PARP9,2
CLIP1,2
SF3A1,2
EPRS,2
SRCAP,2
CLEC16A,2
N4BP2L2,2
LRRC58,2
ARPP19,2
DPP8,2
PHF3,2
DYNC1H1,2
IFI16,2
NR3C1,2
DPP7,2
TOR1AIP2,2
OAZ1,2
LENG8,2
FBL,2
FAM65B,2
CALM3,2
QARS,2
DCP2,2
DUSP16,2
ARPC2,2
CDC37,2
CIRBP,2
SRI,2
EVI2B,2
SOD1,2
RP11-345J4.5,2
IER2,2
RAN,2
PRKCSH,2
APOBEC3G,2
MVP,2
CHKB,2
NDFIP1,2
SNRPC,2
HLA-DPA1,2
TAP1,2
CHMP4A,2
BTG1,2
DNAJC7,2
RNF166,2
HMGB1,2
TPCN2,2
CCL4L1,2
GIMAP5,2
HNRNPC,2
CXCR4,2
MON1B,2
TRAPPC6B,2
RALGAPA1,2
RNF125,2
S100A11,2
POMP,2
CUL4B,2
PRNP,2
AKNA,2
PPP1CA,2
PPP1R12A,2
RASSF7,2
EIF5A,2
KIAA0247,2
AHNAK,2
ANXA1,2
CYTH1,2
IKZF1,2
MSL2,2
BTN3A1,2
SREBF2,2
CERKL,2
DUS3L,2
ATP5D,2
KLF13,2
MIER1,2
FOS,2
CCND3,2
TYROBP,2
LRRC37A2,2
LMAN2,2
ANXA2,2
TAX1BP1,2
GOT2,1
TAF2,1
M6PR,1
IPO5,1
HCFC1,1
TPM3,1
HERC4,1
LETMD1,1
DHX29,1
ZMYM5,1
TUBB6,1
CDC123,1
SLC38A2,1
HNRNPUL1,1
PSMD12,1
PIGG,1
LY6E,1
ATG13,1
NOP16,1
RAB27A,1
SPAG1,1
SLC30A7,1
CD2BP2,1
NBEAL2,1
IRF3,1
ARHGAP4,1
SLAMF1,1
BCCIP,1
RGPD3,1
EMD,1
CCNK,1
DENND1C,1
ORMDL1,1
ITM2C,1
SCFD2,1
ARIH1,1
SCAMP3,1
SFMBT2,1
SETDB2,1
CMIP,1
MAP4,1
MDM2,1
EME2,1
DERL2,1
EMC7,1
SAMD9L,1
CYTIP,1
ZCCHC11,1
HLA-C,1
HMG20A,1
AUTS2,1
TBC1D10A,1
GDI2,1
SELT,1
MTG1,1
PSMB9,1
TTPAL,1
APEH,1
UBA5,1
AKR1A1,1
PAK2,1
KARS,1
SRRM1,1
TNFRSF14,1
HSPA1B,1
SEC11A,1
PRKAR1A,1
RFTN1,1
CHIC2,1
NDUFA1,1
MPC2,1
AAK1,1
PAN3,1
ORMDL3,1
CYCS,1
NFKBID,1
HYPK,1
PML,1
NCF2,1
CD69,1
PAPD4,1
CD81,1
RAP2A,1
SLC4A2,1
FAF1,1
CAPZB,1
VPS37B,1
ELK1,1
SEC62,1
DENND4B,1
MDH2,1
KCTD10,1
TTC14,1
WDFY1,1
CKLF,1
NRD1,1
NAP1L1,1
YWHAE,1
REEP5,1
MOB3A,1
SUCLG2,1
UBL7,1
DENR,1
SFPQ,1
ARHGAP26,1
KDM5C,1
USP39,1
ERI1,1
RUNX3,1
SYPL1,1
DENND3,1
SSR2,1
PTPRJ,1
AKIRIN2,1
GALM,1
PSMA2,1
ANAPC5,1
CTBP1,1
NEDD9,1
TIPARP,1
AGO3,1
UIMC1,1
CSTF3,1
CASP7,1
FASTK,1
KLRK1,1
TNRC6A,1
TET2,1
NISCH,1
SMNDC1,1
APLP2,1
ARL1,1
ASXL1,1
FOXJ3,1
HLA-DRA,1
UBE2I,1
DOCK10,1
FAM177A1,1
SLC4A7,1
KMT2B,1
ZNF217,1
USF2,1
AGPS,1
SMG1,1
VOPP1,1
RASSF5,1
G3BP2,1
ATP6V0B,1
MAP4K1,1
CCT4,1
IDH3B,1
LONP2,1
GALNT2,1
CTSB,1
CASP10,1
MDM4,1
RABGGTB,1
ATP1A1,1
PLAC8,1
CXorf56,1
ELF1,1
PIK3IP1,1
SEC61B,1
SEC11C,1
RAP1B,1
AUP1,1
INO80D,1
RAD21,1
ANXA6,1
UBE2W,1
KIAA1671,1
IVNS1ABP,1
ATP8A1,1
SMARCA2,1
NDUFB8,1
GLO1,1
STRIP1,1
PIK3R5,1
EIF3E,1
CD55,1
RASA2,1
RP11-599B13.6,1
C16orf54,1
TRIM69,1
VPS28,1
ATP5H,1
CAP1,1
GPS2,1
EIF3H,1
LARP4B,1
EIF4G2,1
IAH1,1
NBPF11,1
TUBA1B,1
BZW1,1
ICAM3,1
SUPT6H,1
PARK7,1
PPP1CB,1
BTF3,1
PRPF8,1
TMEM50B,1
C11orf54,1
TRAFD1,1
PIN1,1
CNOT4,1
HSPA4,1
GADD45B,1
IST1,1
SH2D1A,1
ATAD2B,1
ITPR2,1
GPX1,1
TNFRSF1B,1
DRAP1,1
PLCL2,1
PSAP,1
CHMP1A,1
USP24,1
COPB2,1
PRKAR2A,1
NDUFA2,1
FAM53B,1
USP9X,1
TTC39C,1
GIGYF1,1
IFNGR1,1
TPT1,1
UBR1,1
SRPK2,1
ADAM8,1
USP3,1
ATP5F1,1
P2RY8,1
KRI1,1
TALDO1,1
CD4,1
SPCS2,1
BHLHE40,1
CALR,1
TMEM140,1
PLP2,1
HMGN3,1
KIF5B,1
ANKRD54,1
CRIP1,1
TTC17,1
NFATC2,1
NIN,1
INPP5D,1
KLRD1,1
PLXNA3,1
TMED2,1
EIF3D,1
ARNT,1
FRMD8,1
GCHFR,1
TMEM33,1
MPZL3,1
RORA,1
BLOC1S3,1
C22orf34,1
ATP5L,1
SLC35B1,1
BIRC3,1
NONO,1
PRR13,1
THYN1,1
RHBDD2,1
ARL6IP4,1
NEK1,1
GNAS,1
HMOX2,1
NUP214,1
APOBEC3C,1
RSU1,1
SUPT20H,1
ECH1,1
GIMAP7,1
COPA,1
AZIN1,1
LINC00999,1
POLD4,1
ZNF66,1
C21orf33,1
CAND1,1
AGTRAP,1
RRP15,1
CCND2,1
TMEM248,1
PSMB2,1
NCOA3,1
C12orf65,1
CNOT2,1
SS18L2,1
ILF3,1
CASC3,1
RICTOR,1
SLA,1
TNK2,1
IFITM3,1
TMEM218,1
ELOVL5,1
CHTOP,1
TTC1,1
ATP5A1,1
ZEB1,1
RLF,1
MPRIP,1
CS,1
DNAJB1,1
PATL2,1
PRPF31,1
ENSA,1
PCNT,1
HLA-F,1
NFKBIB,1
CDC42EP3,1
C19orf10,1
CAST,1
ITGB1,1
USP36,1
PPP1R2,1
CCSER2,1
KIAA1109,1
SECISBP2L,1
ZFR,1
SRA1,1
SCAMP2,1
PRKDC,1
PSEN1,1
ARHGAP18,1
STARD7,1
BAG6,1
IL2RG,1
PARVB,1
CENPL,1
SRPR,1
SIL1,1
ATP5G2,1
STAG3,1
ST13,1
LEF1,1
PPP2CA,1
CLPP,1
RASSF1,1
RAB14,1
FAM160B2,1
TMPO,1
KIAA0040,1
FBXW2,1
C6orf62,1
NCL,1
GUK1,1
DPP9,1
FKBP5,1
IFI44L,1
KIAA1468,1
TXNRD2,1
NADK,1
PPM1A,1
PPIA,1
KMT2E,1
COX7A2,1
MED28,1
TUBA1A,1
ACTN1,1
MUT,1
SRSF1,1
PHYKPL,1
ADD3,1
CDKN1B,1
MOV10,1
SSNA1,1
HIATL1,1
C20orf112,1
HEMK1,1
XPR1,1
LYRM1,1
CHD7,1
MZT2A,1
STK4,1
RAPGEF6,1
TRIM22,1
FOXP1,1
CARD16,1
ATP5G3,1
CARD8,1
LASP1,1
NCOR2,1
PSMB10,1
KIAA0226,1
INTS3,1
NFKBIA,1
BMS1,1
ZNF292,1
SMC4,1
EIF4B,1
ZNF331,1
SLC20A1,1
OGT,1
SLFN5,1
FAS,1
RGS10,1
PSMA3,1
SOCS3,1
PCID2,1
ACAT2,1
TBC1D14,1
ADRBK1,1
DDX21,1
RASGRP1,1
CLN8,1
CD2,1
GPSM3,1
DTX3L,1
RBM6,1
COTL1,1
MAF,1
HIPK3,1
HLA-DPB1,1
PET100,1
IL21R,1
LYRM4,1
SFI1,1
ZNF692,1
PKM,1
TAGAP,1
PRR4,1
ATP1B3,1
PDCD1,1
CCT7,1
DOK2,1
MAT2B,1
VCP,1
RANBP2,1
DDX11,1
COX16,1
XRN1,1
AC040977.1,1
C3orf38,1
MORF4L1,1
TOP3B,1
NSUN5,1
ZNF644,1
DRG2,1
BRCC3,1
RSBN1,1
TRIM35,1
POLR3E,1
C9orf16,1
TGIF1,1
CITED2,1
C1QBP,1
C18orf32,1
DNMT1,1
PTPN22,1
EPS15,1
CTDSP1,1
SLC25A36,1
CCT5,1
MAML2,1
CCNH,1
JUN,1
MLLT6,1
ORAI2,1
KDM2A,1
TPRG1,1
IL18BP,1
DAGLB,1
ELK4,1
HLA-DMA,1
LGALS1,1
ARID5B,1
HMGN2,1
PPP1R7,1
ACAP2,1
DCTN5,1
TMX2,1
CREBBP,1
U2AF1,1
CYC1,1
CCL4L2,1
CD72,1
UBE2O,1
NDUFA9,1
SAMSN1,1
PPWD1,1
MAP2K3,1
MED4,1
SLC5A3,1
PPP6R1,1
FAM192A,1
ACADVL,1
KIAA0922,1
PIK3CD,1
XAF1,1
ECE1,1
UBTF,1
VTA1,1
CBWD7,1
MED15,1
ABCA7,1
CSRP1,1
TRAC,1
NDUFV2,1
TMEM63A,1
CDK12,1
SERBP1,1
ARHGAP17,1
RAD23A,1
SLC25A3,1
SMARCA5,1
RBM3,1
LRRC41,1
FAM65A,1
NINJ1,1
CDC5L,1
ARPC4,1
UBAP2L,1
HIAT1,1
PMF1,1
GNAI2,1
ZNF638,1
BABAM1,1
SMCHD1,1
FLI1,1
DNMT3A,1
SSR4,1
KPNA2,1
NDUFA11,1
EZR,1
RPRD1B,1
EVL,1
BRD3,1
MGA,1
DDX5,1
TCHP,1
EMC10,1
NDUFA6,1
STX10,1
VPS26B,1
CDK11A,1
RSL24D1,1
GPR155,1
PHRF1,1
ATP5B,1
SERP1,1
APMAP,1
SEPW1,1
TOX,1
ATP1B1,1
CDK2AP2,1
AHSA1,1
FAM134C,1
IL10RA,1
C1orf27,1
STAT2,1
ABCD4,1
ST3GAL1,1
FAM96A,1
HNRNPA2B1,1
CERS5,1
RBM22,1
USP34,1
BNIP2,1
HINT1,1
ST6GAL1,1
LDLRAD4,1
ARSA,1
PTGER4,1
IGF2R,1
NACA,1
FAM208B,1
CCNL1,1
KPNB1,1
ELMO1,1
SEC24B,1
TNFRSF9,1
NASP,1
LY9,1
FAM133B,1
ZNF460,1
FYN,1
NSMCE4A,1
NR1H2,1
ATRAID,1
ANAPC16,1
SNRNP40,1
DNPH1,1
BPTF,1
HDLBP,1
ANKRD17,1
NFKBIZ,1
PCED1B,1
IRAK2,1
NGRN,1
SREK1,1
MAT2A,1
EMP3,1
PSME2,1
SPCS3,1
GNG5,1
UPF3A,1
CRTAP,1
CDK11B,1
INPP4A,1
BRD8,1
HMGA1,1
D2HGDH,1
HAPLN3,1
PPIG,1
SLAMF7,1
B3GNTL1,1
TRANK1,1
SRP14,1
FUBP1,1
EID1,1
GNL1,1
LCMT1,1
KIF21A,1
SPSB3,1
TRRAP,1
MOB1A,1
C12orf55,1
GNPTAB,1
LBH,1
NOL7,1
ECHDC2,1
MRFAP1L1,1
SERPINB1,1
CD302,1
CALCOCO2,1
APOL3,1
HSP90AA1,1
ACTN4,1
AL358333.1,1
HSPE1,1
SOD2,1
LTV1,1
CLNK,1
MGEA5,1
ADAM10,1
MTHFD2,1
EIF6,1
SLC12A7,1
PCM1,1
ITPR1,1
SORL1,1
FBXO42,1
RGPD2,1
PREX1,1
GATAD2B,1
ZEB2,1
STK40,1
NXPE3,1
TIA1,1
BACH2,1
AP3M2,1
RFFL,1
NADSYN1,1
RANBP3,1
PSMB6,1
COA1,1
MICAL1,1
PQBP1,1
INPP4B,1
SNW1,1
ASH1L,1
ARL6IP1,1
MLEC,1
TMEM165,1
HAVCR2,1
CNTD1,1
PDE4DIP,1
CDC26,1
RGS1,1
NEK7,1
MST4,1
ATP11B,1
TANK,1
GLG1,1
CWC25,1
SAFB,1
CCDC64,1
ELMSAN1,1
RSL1D1,1
ZNF814,1
TROVE2,1
CAMK4,1
MYO1G,1
THOC2,1
NSUN6,1
TNFAIP8,1
CSF2RB,1
GOLPH3,1
CALM1,1
KLC1,1
PRPF40A,1
BTN3A2,1
VAPA,1
NDUFS7,1
TXNDC11,1
FAM214A,1
EPB41,1
IL32,1
FBXW4,1
FUT5,1
ELP2,1
C19orf66,1
SSR3,1
SIGIRR,1
ZMYM2,1
UQCR10,1
NUP85,1
ACYP2,1
ZFP36L2,1
PDXDC1,1
ZNF609,1
FAM111A,1
ATXN7,1
MGAT4A,1
OPTN,1
SF3B1,1
C10orf54,1
SNRK,1
PPHLN1,1
GLRX,1
SDHC,1
C19orf53,1
ZDHHC2,1
DNM2,1
CPT1A,1
ZNF518B,1
CEP63,1
ZYX,1
LUC7L,1
KLRC4-KLRK1,1
KLRB1,1
ANAPC4,1
ETNK1,1
OAZ2,1
HSPA1A,1
YWHAG,1
CBLB,1
RP11-231C14.4,1
CCR7,1
MPV17L,1
NUP98,1
SIK1,1
VAMP7,1
CNN2,1
PSMD8,1
TECR,1
ZC3H7A,1
PLEKHM1,1
SPAG4,1
CALM2,1
UBXN1,1
ATP5C1,1
TPR,1
DDX19B,1
ARPC3,1
KDM2B,1
PCBP2,1
SF3B3,1
SND1,1
ACAT1,1
RB1CC1,1
ZBTB21,1
PIK3CG,1
FYB,1
VPS35,1
CHD8,1
MAP3K2,1
H2AFZ,1
BECN1,1
GOLGA3,1
NAA38,1
USP48,1
ICAM2,1
UQCRB,1
IKBKB,1
EZH2,1
RAP1A,1
CHD1,1
SDHA,1
HERPUD1,1
RNASEK-C17orf49,1
TAF10,1
UBE2L3,1
EIF3F,1
PLIN2,1
TULP4,1
ZC3H15,1
NDUFA5,1
GPR56,1
PMAIP1,1
ACTR1B,1
PXN,1
CCT6A,1
CDV3,1
NBPF1,1
VDAC1,1
PARP1,1
ZNF394,1
CXCR5,1
SLC2A3,1
PPP1R15A,1
GCC2,1
GGNBP2,1
CD82,1
POM121,1
YBX3,1
GPR183,1
NEMF,1
MAPRE2,1
CCDC93,1
ADK,1
NBPF24,1
ADCY7,1
LTBP4,1
TUBB,1
CD8A,1
PFDN5,1
ITSN2,1
CDK5RAP3,1
ABLIM1,1
C18orf25,1
ZNF706,1
NANS,1
FIS1,1
NFATC3,1
POMT1,1
EEF1A1,1
C1orf86,1
ZMAT2,1
TMEM258,1
LRRC37A,1
ABI1,1
LARP7,1
STX8,1
USP20,1
CST3,1
NAMPT,1
LCOR,1
MXD1,1
TCP1,1
SENP6,1
PJA2,1
NUCB1,1
MBNL1,1
TDG,1
SLC25A45,1
TIAL1,1
PLCB2,1
FGFR1OP2,1
HNRNPDL,1
TAF7,1
SSH2,1
OPA1,1
CTD-2370N5.3,1
NBPF16,1
RBM5,1
GPI,1
EIF3G,1
METAP1,1
PTPN11,1
NUB1,1
CRTAM,1
PPP6R2,1
DUSP2,1
NFE2L2,1
POLR2M,1
JMY,1
EIF1B,1
MAD1L1,1
ENO1,1
JAK1,1
SNRNP200,1
KMT2D,1
GSPT1,1
MKL1,1
MED24,1
CDC42SE1,1
CLIP4,1
PABPC3,1
GTPBP1,1
FLII,1
ISYNA1,0
NDOR1,0
PRKAB2,0
TSC1,0
RPP25L,0
SNRPA1,0
PPP2R3C,0
FBXL4,0
NSD1,0
THEM4,0
GNLY,0
P2RY14,0
TRIM21,0
RNF8,0
SHQ1,0
CFDP1,0
LIN7C,0
PIGB,0
NAF1,0
MEF2D,0
UBE2H,0
TMEM208,0
GEN1,0
VAPB,0
YKT6,0
CDAN1,0
PRR3,0
WDR91,0
KIAA1429,0
AMT,0
STAG2,0
PPCS,0
HGS,0
PPM1B,0
DNAJC13,0
USP16,0
ARL17A,0
ARHGAP9,0
KRR1,0
RAP1GDS1,0
TOPORS,0
KIAA1683,0
ARRDC3,0
IPO9,0
IGHM,0
ATP6V1A,0
TSPAN17,0
POLB,0
FAM211A,0
SLC12A2,0
ZNF626,0
VAMP1,0
CLIC4,0
MUL1,0
POLE,0
TBC1D8B,0
EHD3,0
GPAA1,0
PNRC2,0
KIFAP3,0
ZNF286B,0
MFSD8,0
NFAT5,0
OGFRL1,0
CCDC23,0
ZDHHC21,0
CCDC14,0
MCRS1,0
MYO19,0
RAB37,0
NHEJ1,0
KIAA1191,0
TCERG1,0
MMD,0
CYHR1,0
ST3GAL6,0
FAM21B,0
FAM129C,0
DAK,0
LRRCC1,0
ZNF330,0
TMEM80,0
YOD1,0
JAGN1,0
SCMH1,0
RINT1,0
MKS1,0
CYSLTR1,0
NKAP,0
ALDH6A1,0
QDPR,0
KIAA0319L,0
ZFAND1,0
LAMTOR5,0
NEU3,0
NPIPA2,0
DUSP10,0
ZNF561,0
ZHX3,0
HIST1H3G,0
CMAS,0
EML3,0
TSPYL4,0
RHD,0
NDUFAF1,0
SYF2,0
PLA2G6,0
CARS,0
PPIP5K1,0
CCNL2,0
TBC1D2,0
TOMM40,0
SLA2,0
PUM1,0
NR1D2,0
THAP11,0
CDK7,0
LLGL1,0
SLC25A32,0
TAF1C,0
TPMT,0
P2RY11,0
TCEAL4,0
DOLPP1,0
CTSS,0
TBC1D8,0
TAF5L,0
ATG7,0
MPP6,0
SLC25A13,0
FIGNL1,0
ZBTB40,0
PAPD7,0
SPECC1L,0
PLAU,0
XRCC6,0
CNPY3,0
DFFB,0
SMC2,0
GAR1,0
GIPC1,0
MTERFD2,0
TDRD3,0
CDK2AP1,0
ADNP2,0
ZNF184,0
EMC3,0
CCR8,0
C16orf91,0
THEMIS,0
F5,0
PUS10,0
TMEM251,0
TMEM69,0
SGPP2,0
ACSF2,0
PSMB3,0
PDK2,0
OCEL1,0
JRKL,0
ATAD3A,0
MIB2,0
ZNF143,0
CES2,0
PIM1,0
HERC3,0
MPI,0
HILPDA,0
TINF2,0
CPNE5,0
TMEM86B,0
COL19A1,0
SRP54,0
EHD1,0
MPEG1,0
NUP43,0
ITGAV,0
FDX1,0
DDX27,0
WBP1,0
ANAPC11,0
CTNNA1,0
TMEM183A,0
STAT6,0
TIMM9,0
EPB41L2,0
TSNAX,0
RAB11FIP2,0
ARRDC2,0
ZBED1,0
PRDM2,0
CSF1,0
ARPC4-TTLL3,0
SLC39A4,0
QKI,0
MAPKAPK3,0
ANKRD39,0
GZF1,0
SMAGP,0
EXD3,0
TM2D3,0
ASCC3,0
WHSC1,0
C9orf72,0
STXBP4,0
TSC22D2,0
TIMP1,0
CDIP1,0
PSMG2,0
ARL15,0
IFI27L2,0
RP11-347C12.1,0
PHLDB1,0
METTL9,0
CYB5D1,0
ARL13B,0
C5orf63,0
CD276,0
ZNF525,0
ZNF136,0
RP11-849F2.7,0
RNF13,0
MFF,0
ZBTB9,0
GNE,0
TMEM91,0
ETHE1,0
SAMD3,0
ZBTB49,0
PIK3C3,0
SMIM7,0
C4orf21,0
ZDHHC6,0
SSRP1,0
ATG4C,0
TM9SF4,0
ZNF586,0
MORC4,0
APPL2,0
CLTA,0
PLEKHO1,0
BLOC1S4,0
BAG1,0
TRIM13,0
OSCAR,0
COMMD6,0
CAD,0
PSMC4,0
TXN,0
FAM174A,0
AZI2,0
CTC-554D6.1,0
KIAA1586,0
CYP4V2,0
FAM210A,0
RNPEP,0
AK4,0
KIAA0141,0
ORMDL2,0
TMEM60,0
TRAPPC12,0
CCDC125,0
ALG6,0
KATNAL1,0
CTD-2547L24.3,0
DDX20,0
SETD3,0
ZSWIM8,0
GTF2F2,0
SYAP1,0
WDR24,0
ZNF655,0
NCBP2,0
PTGER2,0
EFTUD2,0
ARHGEF3,0
C19orf12,0
TMEM67,0
COPS5,0
PRKRIR,0
PTAR1,0
TSSC1,0
PEPD,0
CALU,0
UPK3B,0
ZNF549,0
HOXB2,0
NFS1,0
ZNF282,0
CRBN,0
ETAA1,0
NAPRT1,0
TRAPPC5,0
HIST1H2BG,0
NSMCE1,0
TMEM101,0
MIS12,0
APC,0
RP11-383H13.1,0
AUH,0
