Feature,Importance
GAPDH,48
IFITM2,25
SRGN,22
HNRNPL,20
TNFAIP3,19
CREM,17
CDC73,16
EIF4A2,15
HLA-C,15
DOCK8,14
UBC,14
LAMTOR4,14
SAT1,13
EEF1G,13
UBB,12
DAZAP2,11
DUSP4,11
GZMH,11
HLA-G,11
CDC42SE2,10
TXNIP,10
CCL4L1,10
RALGAPA1,10
FAM49B,9
GPR108,9
TPT1,9
PRF1,9
HLA-B,9
RNF213,9
CHORDC1,9
XAF1,8
FOSL2,8
IRF1,8
ZBTB5,8
ARPC4,8
IFITM1,7
CD74,7
RBM39,7
B2M,7
MYO1F,7
IFI6,7
INTS4,7
NFKBIZ,7
EIF1,7
AHNAK,7
SLC38A1,7
TMED4,7
PDCD4,7
SQSTM1,7
S100A6,7
ITGB1,7
HIST2H2AA3,6
AHSA1,6
ECE1,6
TMSB10,6
PPIA,6
LILRB4,6
CFLAR,6
SERF2,6
ATP5D,6
YBX3,6
MED13,6
CCL3,6
UBA52,6
EPHA1,6
HIST2H2AA4,6
C1orf56,6
WARS,6
MT2A,6
CD58,6
VIM,5
ARPC3,5
ORC2,5
CCL5,5
CHST12,5
C1orf63,5
CAPZA1,5
EIF5A,5
IDS,5
TAGLN2,5
ADIPOR1,5
FNBP1,5
C10orf54,5
DHX29,5
LUC7L3,5
IARS,5
PRKCB,5
UBE2D1,5
HSPA1B,5
TBCC,5
CDC26,5
CHMP4A,5
RGPD5,5
EIF2S3,5
APOBEC3C,5
KDM4C,5
RGS1,5
SLAMF7,5
TLE3,5
STAT1,5
CTSC,5
ITK,5
CLIC1,5
ARIH2,5
DNMT3A,5
GNAS,5
SH3BGRL3,5
ACTG1,5
NDUFA7,4
FYN,4
CIRBP,4
ZNF292,4
HIF1A,4
PTMA,4
EIF4B,4
ANXA5,4
CHCHD2,4
GIT2,4
VIMP,4
CSNK2B,4
GSTK1,4
OFD1,4
HLA-E,4
SERPINB9,4
RBM6,4
AZI2,4
CSTB,4
SSH2,4
SLC25A5,4
EEF2,4
MAT2B,4
BRK1,4
SRSF3,4
PI4KA,4
SRSF6,4
CREBZF,4
CTNNB1,4
AAK1,4
PRKAR1A,4
CELF1,4
CLPB,4
DPYD,4
PHC3,4
IER2,4
NLRC5,4
MYL6,4
FAM133B,4
PPP2R5C,4
NAP1L1,4
FGD3,4
PIK3IP1,4
NBEAL1,4
SQRDL,4
ITPKB,4
EVL,4
PIK3CD,4
POLR2A,4
NCOA3,4
SKP1,4
OAZ1,4
OSTF1,4
BSG,4
IFITM3,4
TAX1BP1,4
LMNA,4
USP9Y,4
ATP6V0D1,4
PARP14,4
VAPA,4
HSP90AA1,4
SRRM2,4
DENR,3
SNRPF,3
RP4-583P15.14,3
PTPRC,3
EEF1D,3
PSMB9,3
FLNA,3
CFL1,3
EIF4G2,3
BUB3,3
HMHA1,3
ABTB1,3
USF2,3
CTBP1,3
CSRNP1,3
HSP90B1,3
UBXN11,3
SPG7,3
C6orf62,3
C11orf58,3
MON1B,3
ANP32E,3
AP2B1,3
TGOLN2,3
ANXA1,3
CERKL,3
NKG7,3
VPS13C,3
CTSW,3
DNAJB11,3
SLC35E2B,3
TRA2B,3
NBPF11,3
ZFP36,3
PRICKLE4,3
ATP8A1,3
DDX17,3
JAK1,3
NDUFA12,3
PPP1CB,3
TMSB4X,3
SYT11,3
TAPBP,3
WIPF1,3
TC2N,3
HMGN2,3
RAPGEF6,3
DDX46,3
TULP4,3
RP11-166B2.1,3
ZNF331,3
PDPK1,3
LY9,3
ZNF736,3
SSR3,3
TAP1,3
PSMA3,3
IRF2BP2,3
CD37,3
CORO1A,3
SNRPD2,3
FXR1,3
KIAA1551,3
HLA-DQB1,3
GIGYF1,3
NR3C1,3
TPM4,3
TRIM22,3
KIAA2026,3
SCAF4,3
TSC22D3,3
BTG1,3
FAM120B,3
ATM,3
ATP5L,3
COMMD1,3
TRA2A,3
BTN3A3,3
PPP1CA,3
UGDH,3
RAB33B,3
EIF3F,3
SH3BGRL,3
NXF1,3
FTL,3
CD2BP2,3
SPDYE2,3
PCNXL2,3
DEDD,3
PSME2,3
ZNF638,3
CLK3,3
NPM1,3
CCR7,3
PPIB,3
UBBP4,3
MAT2A,3
FYB,3
HNRNPK,3
USP34,3
RP11-347C12.1,3
RPN2,3
MAP3K2,3
NACA,3
C9orf64,3
ZFP36L2,3
FPGS,3
COX4I1,3
ZNF783,3
ATF4,3
SND1,3
NR4A2,3
BTN3A2,3
APOL2,3
CD38,3
MEF2D,3
TMOD3,3
ARHGEF1,3
EIF4G3,3
C1orf43,3
MYO1G,3
NUP98,3
KCTD20,3
CCDC130,2
NPIPA1,2
IFI44L,2
CCNL2,2
ZNF706,2
ANP32A,2
RNF10,2
OXA1L,2
NONO,2
SLC25A6,2
TGFBR2,2
SIK1,2
EML4,2
HERC1,2
HBP1,2
ISG20,2
KMT2A,2
UBA1,2
GNPTG,2
CHD9,2
BLMH,2
TRABD,2
TRAT1,2
ATP5B,2
AFF1,2
TGFBI,2
ZNF655,2
RAB7A,2
TYK2,2
ST6GALNAC6,2
NDRG1,2
EIF3A,2
ATG3,2
CEP135,2
ARCN1,2
TAF9B,2
GADD45B,2
PABPC1,2
SON,2
ST3GAL5,2
CD99,2
COPA,2
UBE2D3,2
SUMO1,2
CCDC115,2
RBM14,2
ADSS,2
ORMDL1,2
PDE4B,2
NHP2L1,2
USP11,2
SF3B3,2
ZFP36L1,2
TRAF3IP3,2
RNF4,2
