Feature,Importance
TRAC,2
CD55,2
PIK3R1,2
TUBGCP2,2
SELPLG,2
ACADVL,2
HLA-DPB1,2
MYL12B,2
ADAR,2
POLR2J3,2
TRAFD1,2
MCL1,2
NPIPB4,2
PSMD7,2
STAM,2
GOLIM4,2
CALM1,2
LSP1,2
C19orf66,2
PTPN4,2
ATXN2L,2
ANKRD11,2
ARPC4,2
SLC15A4,2
UQCRB,2
CREB3L2,2
AKAP13,2
VPS13A,2
DDX46,2
GRB2,2
ZC3HAV1,2
CHCHD2,2
INO80D,2
CD2,2
ABCF1,2
DEGS1,2
UBE2D3,2
IFRD1,2
OGT,2
DDX19A,2
CUTA,2
SYNE2,2
FTH1,2
PPP1R10,2
RSF1,2
PCMT1,2
PFN1,2
KIAA1551,2
RAD23A,2
CEP63,2
NPIPB5,2
ELF1,2
PBXIP1,2
CORO1A,2
ACTR2,2
TSPYL1,2
TUBA1B,2
SPCS3,2
PHF1,2
H3F3A,2
PLA2G16,2
MAPK1IP1L,2
HSPA5,2
SSR4,2
NDUFV2,2
CARD8,2
ST3GAL1,2
TSPAN14,2
HSPA9,2
ARHGAP25,2
NHP2L1,2
BLOC1S6,2
ARHGAP17,2
NPC2,2
SERBP1,2
SDCBP,2
GBP5,2
TMEM123,2
RP11-231C14.4,2
PRRC2C,2
GPR89A,2
ERP44,2
MGRN1,2
HLA-F,2
JMJD1C,2
CAPN2,2
UFC1,2
ARHGAP1,2
NPIPA7,2
SIPA1L1,2
HEATR5B,2
CTDSP2,2
SYNGR2,2
PTPRCAP,2
FLNA,2
WASF2,2
OSTF1,2
JTB,2
RGPD6,2
MATR3,2
TRRAP,2
HBP1,2
YWHAE,2
TSC22D3,2
TAGAP,2
CNBP,2
DHX29,2
ARID4A,2
OST4,2
PNRC2,2
LEPROTL1,2
AAK1,2
C3AR1,2
NFATC3,2
ATM,2
SMAP2,2
NBPF16,2
TNFRSF1B,2
HSP90AA1,2
MORF4L1,2
CYB5R4,2
ADAM10,2
ATP1B3,2
TTC17,2
RAB3GAP1,2
DNAJA1,2
FAM32A,2
FKBP11,2
RNF167,2
PA2G4,2
CD5,2
TERF1,2
CNOT1,2
C3orf38,2
SRSF6,2
ID2,2
AGAP3,2
CASP4,2
SLC25A37,2
CALM2,2
KMT2A,2
TBC1D10C,2
CLASP1,2
SERPINB1,2
TTC1,2
CBX6,2
RARRES3,2
HLA-DQB1,2
B4GALT3,2
RGS2,2
PHLDA1,2
CLK1,2
TPM3,2
IARS,2
EDEM3,2
DAZAP2,2
RBM4,2
PARVG,2
EIF3L,2
NBPF10,2
ST6GAL1,2
WIPF1,2
CD97,2
GABARAP,2
TGOLN2,2
ZFP36,2
CABIN1,2
UBA52,2
SUN2,2
KDM5A,2
PAN3,2
SEC16A,2
FMNL3,2
FRMD8,2
SETDB1,2
CD3G,2
PRKAR1A,2
RHOH,2
VAMP8,2
PHF3,2
PTPN18,2
CDC25B,2
NCBP2,2
B4GALT1,2
EEF1A1,2
FXYD5,2
SLC39A11,2
VAPA,2
DEF6,2
GNAS,2
JAK3,2
NBPF1,2
C1orf56,2
HCFC1,2
POLD4,2
WNK1,2
KMT2E,2
EIF3C,2
SF3A1,2
PJA2,2
STK38,2
UBE2V1,2
HMGB1,2
SAR1B,2
SLA,2
COX7A2,2
RUFY1,2
SLC25A5,2
CEP350,2
SEC62,2
CCL4L1,2
S100A11,2
VIM,2
HNRNPUL1,2
TNK2,2
NBPF15,1
TBC1D1,1
NBEAL2,1
ATG16L2,1
FMNL1,1
AUP1,1
ARFGAP1,1
NABP1,1
ZNF165,1
NAIP,1
MAX,1
SNX1,1
WBSCR22,1
FAM114A2,1
ARHGAP4,1
SPN,1
FGD3,1
DOCK2,1
ATP1A1,1
DERL2,1
REL,1
PSMC6,1
KIAA2026,1
HNRNPA3,1
YWHAQ,1
FRG1,1
CREM,1
GDI2,1
CCL4L2,1
ST6GALNAC6,1
HP1BP3,1
GZMB,1
AP4E1,1
BCOR,1
ITGAL,1
LETM1,1
HERC2,1
ATP2B4,1
EME2,1
LDOC1L,1
SMC3,1
ORMDL1,1
MAP4,1
IRF7,1
ANP32B,1
TMEM170A,1
HMG20B,1
SMARCC1,1
CD247,1
TM9SF3,1
MORF4L2,1
UQCRC2,1
SUGP2,1
IRF3,1
TBC1D2B,1
RALA,1
BIRC2,1
SLC9A3R1,1
PSMB9,1
AP3S1,1
FAM65B,1
TMEM43,1
ARL17B,1
NDUFA1,1
TNFRSF14,1
EIF5B,1
LAMTOR1,1
TPI1,1
TMED5,1
NCOA5,1
HERPUD2,1
GALM,1
ATXN1,1
BUB3,1
PPP5C,1
TRAPPC6B,1
PRKCQ,1
ALKBH7,1
YIPF4,1
RUFY2,1
RPN1,1
ELK1,1
CAPZB,1
ABI3,1
DNAJC9,1
UHMK1,1
DCAF8,1
DAP3,1
CYCS,1
UBE2N,1
COX8A,1
GPBP1L1,1
BAZ1B,1
TIPARP,1
ADSL,1
SAMHD1,1
DDX52,1
ARL6IP5,1
DENND4B,1
KDM5C,1
HYPK,1
STK17A,1
ATP5C1,1
RHOA,1
RFTN1,1
TNFSF8,1
WIPF2,1
TUBGCP6,1
GLTSCR2,1
DNAJB6,1
DENR,1
UBL7,1
HSPD1,1
GOLGA7,1
DNAJC3,1
NBPF14,1
PRPF4B,1
FAM46C,1
LMBRD1,1
WASH4P,1
SNX29,1
CUL1,1
CD8B,1
LYAR,1
CD84,1
PIM2,1
TAB2,1
RABAC1,1
DHX36,1
NIPA2,1
ZNF236,1
VCP,1
RIOK3,1
EGR1,1
RAD21,1
FARP2,1
FAM26F,1
EIF3H,1
NUDT19,1
EIF4G2,1
CALCOCO1,1
BLOC1S1,1
API5,1
EEF1D,1
TLE3,1
BTF3,1
PDK1,1
OSTC,1
KEAP1,1
PELI1,1
GLUD1,1
GAB2,1
CSRNP1,1
TMEM161B,1
CMTM6,1
MAP4K1,1
BBX,1
CXorf40B,1
IDI1,1
UBE2I,1
DOCK10,1
POLR3E,1
TFRC,1
USF2,1
WDR37,1
PPAPDC1B,1
TSTD1,1
PIK3R5,1
AAGAB,1
RC3H1,1
SPCS1,1
WDR82,1
LYPLA2,1
FBXW7,1
COPE,1
DGKA,1
LSM1,1
FOXN2,1
AKNA,1
RASA2,1
NOTCH2,1
TRPM7,1
IVNS1ABP,1
FBP1,1
PRPF8,1
TACC1,1
RGPD3,1
KBTBD2,1
ARHGAP35,1
PCSK5,1
APBA3,1
STX5,1
FTSJ3,1
OTUB1,1
PABPC1,1
STX12,1
CD96,1
IPO4,1
ARAF,1
STAU1,1
NFATC1,1
HSP90AB1,1
BTN3A3,1
NFATC2IP,1
CASC4,1
ATG7,1
NR3C1,1
ANKRD10,1
ERO1LB,1
DYNLT1,1
CASC3,1
IFI16,1
EML3,1
BAG6,1
MYO9B,1
PIK3CD,1
TPMT,1
BCAS2,1
MDC1,1
P2RY11,1
C1orf63,1
PLXNA3,1
S100A4,1
CNOT4,1
PARP9,1
RAB7L1,1
EP300,1
RAP2B,1
CLEC2D,1
NADK2,1
ZNF493,1
ASCC1,1
CHURC1,1
SAMD9,1
DDI2,1
ZFAND2A,1
HBS1L,1
C7orf55-LUC7L2,1
CALU,1
C11orf31,1
EIF3D,1
RORA,1
MCM3AP,1
SCML4,1
BTAF1,1
NPLOC4,1
PSMB3,1
GLIPR1,1
ATP5EP2,1
DAGLB,1
SESN3,1
SNX17,1
PRDX1,1
ELK4,1
ACAP2,1
BAZ2A,1
DCUN1D1,1
DDX58,1
TRMT112,1
MAGED2,1
RCSD1,1
MFSD10,1
USP47,1
ANAPC11,1
AMFR,1
ATP5G1,1
ABCA7,1
YY1AP1,1
RAB33B,1
INSIG1,1
PHF20L1,1
MED15,1
PRDM2,1
STAT6,1
SCAMP2,1
AMD1,1
PFDN2,1
ASCC3,1
NSMAF,1
PGS1,1
CAST,1
XPO1,1
SKP1,1
UBE2V2,1
COX7A2L,1
NUDT1,1
WDR33,1
AKR1B1,1
USP3,1
KRI1,1
DOCK11,1
EIF3K,1
MRFAP1,1
BHLHE40,1
KIAA1683,1
UBR5,1
PLP2,1
UNC45A,1
SELL,1
KIAA1191,1
TCIRG1,1
HM13,1
SRSF11,1
CALR,1
SRRM2,1
C20orf112,1
DYNC1I2,1
EIF3CL,1
CLPP,1
NEK9,1
EXO5,1
SNRPN,1
IGBP1,1
ELOVL1,1
PRNP,1
CCDC14,1
NUFIP2,1
DPP9,1
MESDC2,1
REV3L,1
SF3B2,1
CNOT2,1
CFL1,1
NCL,1
VAMP5,1
SH2D1A,1
RP4-583P15.14,1
DEK,1
RAPGEF1,1
WAC,1
NDUFA7,1
GPCPD1,1
FAM199X,1
RHOC,1
FBXL12,1
COX5B,1
FAIM3,1
OMA1,1
HSP90B1,1
TRAF3,1
RAB8B,1
USP24,1
IRF2BP2,1
FAM105B,1
PPIA,1
AZI2,1
TRIM13,1
UXT,1
NR4A3,1
RNF166,1
LYST,1
ADAM8,1
CSDE1,1
LTB,1
VAPB,1
SNRPA1,1
UFM1,1
SH3KBP1,1
IREB2,1
ATAD2B,1
RNF38,1
RTEL1-TNFRSF6B,1
ARID1B,1
SNX3,1
JMJD6,1
U2AF1,1
HMGN2,1
DCTN5,1
FKBP15,1
NPEPPS,1
ZNF292,1
NCF1,1
TBL1XR1,1
HIPK3,1
RBM33,1
CIRBP,1
TUBGCP5,1
DDX55,1
ATG4B,1
R3HDM2,1
C9orf16,1
EVI2B,1
C1QBP,1
PHF14,1
CEP57,1
WDR75,1
GBP4,1
IRF2,1
CCAR2,1
PSMB10,1
ATP5G3,1
TSEN54,1
IST1,1
GIT2,1
WBP11,1
ANXA5,1
UNKL,1
STAT4,1
MPZL3,1
FAM53B,1
IL7R,1
XPO6,1
TBC1D5,1
ETF1,1
NT5DC1,1
EMB,1
NDUFB6,1
RAN,1
FOXP1,1
OSER1,1
NLRP1,1
C1GALT1,1
ATG3,1
VCPIP1,1
SFI1,1
N4BP2L1,1
YPEL3,1
TRA2A,1
DMTF1,1
ARFGEF1,1
MPHOSPH8,1
MIF4GD,1
MAT2B,1
RANBP2,1
TAF1D,1
SAMSN1,1
MYO1C,1
AP1G1,1
CNPY2,1
EXOC4,1
NOP56,1
BLVRB,1
UXS1,1
POMP,1
MED13L,1
RNF5,1
MMS19,1
CTDSP1,1
PCMTD2,1
HCLS1,1
PTMA,1
CCT5,1
PDAP1,1
BRE,1
FRYL,1
SSU72,1
TAOK1,1
BTN3A1,1
PSMC1,1
CD74,1
SLC7A6,1
UBXN11,1
ZNF335,1
NCALD,1
DYNLRB1,1
TMC8,1
NELFCD,1
PER1,1
NDUFA3,1
ARFGEF2,1
SLC25A3,1
SERINC3,1
BRD7,1
CD79A,1
MUM1,1
AREL1,1
ARCN1,1
TERF2IP,1
SNRNP27,1
IFI6,1
SCAF4,1
WDR13,1
PCBP1,1
RNF6,1
CBWD6,1
PTK2B,1
NFYC,1
MBD2,1
DBNL,1
LENG8,1
EVL,1
CHN1,1
CMTM7,1
ARPP19,1
ARFGAP3,1
ERICH1,1
ASAP1,1
CDS2,1
CNST,1
ARID4B,1
CHD3,1
MOV10,1
ST13,1
SMC1A,1
MARK2,1
KLRG1,1
LCK,1
CD99,1
POLR2G,1
ZNF331,1
ACTB,1
SUMF2,1
MIF,1
LCLAT1,1
PTPN6,1
KAT6B,1
GRHPR,1
SARNP,1
EBP,1
COX7C,1
TSPO,1
EIF4A2,1
PPIH,1
SASH3,1
POLR3A,1
LGALS8,1
EPC1,1
LPXN,1
AEBP2,1
PSMA7,1
RP1-130H16.18,1
ITK,1
UFL1,1
MAP1LC3B2,1
KCNA3,1
BCL11A,1
PHYKPL,1
UBXN4,1
STK10,1
CCR6,1
RABIF,1
TOR1AIP2,1
NOL7,1
CCNL1,1
ITM2A,1
PLRG1,1
HNRNPK,1
GOLGA1,1
SMARCC2,1
ANKRD32,1
ACTN4,1
EPG5,1
SLTM,1
SEC61A1,1
CRK,1
UPF3A,1
ZNF451,1
UGGT1,1
SIPA1,1
ATP6V0C,1
GATAD2B,1
SCAF11,1
DNAJC14,1
MACF1,1
GPATCH2L,1
ACSF3,1
LUC7L3,1
SPSB3,1
C12orf75,1
ELMO1,1
MDN1,1
NBN,1
HCST,1
ASH1L,1
AKAP8,1
DNAJB11,1
GPR183,1
HAX1,1
ACTG1,1
EIF5AL1,1
DNAJB4,1
DYNLL1,1
YWHAB,1
PLEKHM1,1
NPIPB11,1
CHD2,1
CCDC109B,1
KLRC4,1
RASA1,1
HIGD1A,1
ARHGEF1,1
DROSHA,1
ATP5E,1
SDR39U1,1
DNAJC15,1
SLC9A8,1
ARHGAP15,1
FAM217B,1
LAG3,1
EEF1B2,1
NR4A1,1
KIAA0195,1
USP11,1
VPS39,1
CALM3,1
THRAP3,1
SAP30BP,1
BLVRA,1
ZBTB5,1
RANGRF,1
NLRC5,1
PYCARD,1
PSMD1,1
ABCD4,1
DENND4A,1
GON4L,1
TMBIM4,1
NUP93,1
GLRX,1
TMEM131,1
SCYL1,1
ARL6IP1,1
SIRPG,1
NASP,1
TRAPPC1,1
ATP6V1F,1
ZDHHC24,1
MED29,1
EIF3M,1
RNASET2,1
SUCLA2,1
PRDX6,1
PNPLA8,1
AC119673.1,1
FAM133B,1
PIAS1,1
EIF3J,1
HIF1A,1
ARID5A,1
NXT1,1
SKAP1,1
PRDM1,1
CDK11B,1
PQBP1,1
GTF2B,1
PCM1,1
TROVE2,1
BCL2L11,1
JUND,1
RGS1,1
TMEM2,1
KDM4A,1
RASAL3,1
CHMP4A,1
RSAD2,1
SP3,1
PRKACB,1
YTHDF1,1
ZBTB25,1
NUP153,1
STX4,1
SPDYE1,1
TES,1
SP100,1
DDX17,1
ATF7IP,1
TMEM59,1
SPON2,1
TOB2,1
COX5A,1
NAA60,1
SCAND1,1
ZFAND6,1
ACADM,1
RPN2,1
RNF149,1
TRAPPC6A,1
SBNO2,1
DGCR6L,1
EFTUD2,1
RBM25,1
CLPTM1,1
CDC42,1
PPP6R2,1
NUCKS1,1
LPCAT3,1
SPOCK2,1
VPS13B,1
NUDT3,1
C6orf89,1
UCHL5,1
SRSF2,1
HNRNPR,1
PCED1B,1
ARAP1,1
L3MBTL3,1
SMIM7,1
DAB2,1
PDCD10,1
TLE4,1
LMF2,1
IL32,1
XBP1,1
TPP2,1
SAP18,1
AMIGO3,1
AOAH,1
PDCD6IP,1
SLC25A32,1
TMEM39A,1
SCP2,1
CYB5R3,1
CTSD,1
XRCC5,1
RASSF4,1
MPG,1
LTBP4,1
EHD1,1
RILPL2,1
UCP2,1
TSPYL4,1
RFX1,1
ATF6B,1
TRAF3IP3,1
XRCC6,1
CCNI,1
SNF8,1
DUT,1
TCF7,1
SEMA4D,1
CANX,1
MAT2A,1
AP1G2,1
PSMD2,1
CHKB,1
KLRC4-KLRK1,1
APOBEC3D,1
SSR3,1
LY9,1
IKBKAP,1
KRR1,1
GNL3,1
ARRB2,1
TPM4,1
RQCD1,1
CDC37,1
NAA38,1
TOB1,1
BRWD1,1
CALCOCO2,1
UBA1,1
ZNHIT1,1
H2AFJ,1
TMX1,1
MOB1A,1
LARP7,1
CLK4,1
PCNA,1
MCRS1,1
USP7,1
KIAA0247,1
GK5,1
PPP3R1,1
NFAT5,1
NCOR1,1
WSB1,1
CPT1A,1
CCDC117,1
SULT1A1,1
KRTCAP2,1
UQCRC1,1
COBLL1,1
HSPBAP1,1
ACTR10,1
DLD,1
WDR74,1
NBPF12,1
CASS4,1
PSMB6,1
TCF25,1
VRK3,1
CKS2,1
KIAA0141,1
RAD1,1
ZBTB38,1
ZMYM2,1
P4HB,1
DNM2,1
C16orf13,1
C19orf53,1
FAM49B,1
SPATA13,1
RP4-758J18.2,1
CDC26,1
TIA1,1
PPP6C,1
C12orf44,1
NECAP2,1
HUWE1,1
WTAP,1
DCP2,1
POM121C,1
POM121,1
CPSF6,1
CHD1,1
DUSP2,1
SH2D2A,1
GGA2,1
HERC1,1
FYB,1
JAKMIP1,1
APRT,1
SNX5,1
STIP1,1
PNPLA2,1
SMC6,1
IDS,1
CCDC18,1
MRFAP1L1,1
FXR1,1
BOD1L1,1
PRPF39,1
ADCY7,1
SND1,1
PPP2R1A,1
ATG2B,1
UBXN1,1
KLHL36,1
CHM,1
C1orf43,1
POLRMT,1
RBM42,1
BTG1,1
NF2,1
MSTO1,1
CARD11,1
MPV17L,1
IGJ,1
NDEL1,1
MAPRE2,1
PPP2R5D,1
GPR108,1
FUBP1,1
SBNO1,1
RP11-468E2.4,1
ABLIM1,1
UQCRFS1,1
GTPBP1,1
ADK,1
SDHD,1
C18orf25,1
PI4KB,1
STRADA,1
EXOSC10,1
PTBP1,1
OAS2,1
LBH,1
STK38L,1
PSMB1,1
AATF,1
CDK5RAP3,1
ZNF548,1
EIF3G,1
P2RY10,1
GPI,1
IKBKB,1
TCP1,1
CSK,1
PUF60,1
RBM17,1
SENP6,1
FOS,1
FAM107B,1
LSM6,1
ETHE1,0
MAP7D1,0
DNAJC13,0
PSMC2,0
MTRF1L,0
TMEM91,0
MED12,0
FAM134C,0
ZBTB49,0
ZNF561,0
LRRCC1,0
C4orf21,0
ZNF330,0
TACC3,0
TMEM101,0
TRAPPC5,0
ZDHHC21,0
CCDC23,0
NSMCE1,0
PIK3C3,0
ZNF589,0
ST3GAL6,0
GTF2F2,0
CCDC50,0
CCDC125,0
SMPD4,0
PACS2,0
SSRP1,0
NKAP,0
CHAF1B,0
SUMO3,0
C7orf73,0
PSMC4,0
RP11-383H13.1,0
EBI3,0
AUH,0
NAF1,0
KIAA1429,0
NSD1,0
ZNF253,0
USP18,0
SPRY2,0
EXOSC5,0
BAG1,0
CAND1,0
SLC30A7,0
RTFDC1,0
SFT2D1,0
MIS12,0
MEF2D,0
MMD,0
ADNP,0
CYP4V2,0
ATAD1,0
TCTN3,0
NAB1,0
MAGOHB,0
NHEJ1,0
CTC-554D6.1,0
CTD-2547L24.3,0
SETD3,0
OPTN,0
FAM174A,0
THEM4,0
PTAR1,0
PRPSAP2,0
CCND2,0
BRAF,0
EHD3,0
PIK3CG,0
AARSD1,0
RPP25L,0
RAB37,0
FAM129C,0
SCMH1,0
PRR3,0
FBXL4,0
TMEM208,0
AKAP7,0
ORAOV1,0
RALGAPA1,0
PIGB,0
NDUFB7,0
AMT,0
NDUFS6,0
P2RY14,0
SHQ1,0
PIBF1,0
CFDP1,0
NDUFB5,0
LARP1B,0
LYRM1,0
FAM211A,0
RMND5B,0
C14orf142,0
MYO19,0
ARRDC3,0
FCF1,0
PEA15,0
STX16,0
RAP1GDS1,0
ARHGAP9,0
ARL17A,0
NIPSNAP1,0
ABHD15,0
NPIPA2,0
PSKH1,0
ZNF585A,0
NEU3,0
LAMTOR5,0
CYSLTR1,0
HMBS,0
HK3,0
NDOR1,0
UBE2E2,0
CDAN1,0
UBE2H,0
MKS1,0
QDPR,0
ZFAND1,0
SPAG1,0
FAM210A,0
RNPEP,0
AK4,0
COPB2,0
ORMDL2,0
SERPINB6,0
TMEM60,0
TRAPPC12,0
ALG6,0
KIAA1586,0
ZMAT2,0
ZNF586,0
DUSP10,0
METTL9,0
C5orf63,0
INPP5D,0
ZNF525,0
UBQLN1,0
RNF13,0
MDM2,0
RSU1,0
POLE,0
CLTA,0
VPS53,0
PPM1B,0
ZHX3,0
RTN4IP1,0
SMN2,0
SGPP2,0
PLEKHO1,0
CDCA8,0
SUB1,0
BLOC1S4,0
OGFRL1,0
ATP5O,0
TOP1,0
ECI1,0
IGHM,0
ATP6V1A,0
TSPAN17,0
OSCAR,0
COMMD6,0
CAD,0
SLC12A2,0
VAMP1,0
SYAP1,0
PINX1,0
WDR24,0
TDRD3,0
WHSC1,0
FIGNL1,0
PAPD7,0
SPECC1L,0
PLAU,0
ERGIC1,0
C9orf72,0
STXBP4,0
TIMP1,0
HNRNPH2,0
LRRC42,0
FKTN,0
CDIP1,0
CCL3L3,0
CTNNA1,0
DFFB,0
GAR1,0
PDK2,0
OCEL1,0
MIB2,0
RNPEPL1,0
KLHL15,0
TRANK1,0
EXD3,0
NAPRT1,0
TMEM183A,0
TIMM9,0
TSSC1,0
ARRDC2,0
ZBED1,0
ZNF282,0
CRBN,0
ETAA1,0
CSF1,0
ARPC4-TTLL3,0
CSTA,0
SLC39A4,0
QKI,0
IFI27L2,0
MAPKAPK3,0
MYO7A,0
HMGA1,0
GZF1,0
ABCE1,0
SMAGP,0
ZNF143,0
HERC3,0
C2orf69,0
MPI,0
SYF2,0
SLC52A2,0
MICALL1,0
CLPTM1L,0
LSM12,0
SSR1,0
RBM5,0
SLC41A1,0
MICA,0
CPED1,0
SYPL1,0
NANS,0
KLF7,0
TRAPPC3,0
KIF11,0
CD72,0
HIST1H3G,0
KIAA0907,0
KLHL20,0
TOMM40,0
CDCA7,0
SMG7,0
YJEFN3,0
ARHGAP26,0
DDX27,0
ACSF2,0
HILPDA,0
RBMS1,0
ADNP2,0
THEMIS,0
TMEM86B,0
NUCB1,0
ITGAV,0
FDX1,0
PUS10,0
TADA3,0
SLA2,0
SLC37A1,0
TMOD3,0
ZNF384,0
REXO1L10P,0
AC015987.2,0
PIGQ,0
WBP4,0
RHD,0
SP4,0
FBRS,0
KATNAL1,0
SAMD3,0
HNRNPH1,0
PHLDB1,0
APPL2,0
GCHFR,0
ARL15,0
SEC11C,0
PSMG2,0
DCTN3,0
MPP6,0
CYB5D1,0
SLC25A13,0
CISH,0
ZBTB40,0
ARL13B,0
CD276,0
CNPY3,0
ZNF136,0
CDKN2C,0
SMC2,0
RP11-849F2.7,0
MFF,0
MANBA,0
NFS1,0
HOXB2,0
CSTF1,0
ZNF655,0
WDR35,0
PTGER2,0
ARHGEF3,0
C19orf12,0
TMEM67,0
BAG3,0
MORC4,0
DDX59,0
COPS5,0
ZNF549,0
ZSWIM8,0
GPHN,0
GNE,0
PRKRIR,0
PEPD,0
ADAP2,0
SETD1B,0
WDR36,0
UPK3B,0
ZBTB9,0
ZDHHC6,0
STRIP1,0
MTERFD2,0
BRCA2,0
CCNL2,0
ATP6V0B,0
TBC1D2,0
DHRS3,0
