Feature,Importance
GAPDH,39
IFITM2,38
TMSB10,27
HLA-B,26
SLC38A1,19
CCL3,17
LAMTOR4,16
HIST2H2AA4,15
CHORDC1,15
GZMH,15
EIF5,14
TTN,14
MX1,13
HSF1,13
EEF1G,13
ADRBK1,12
IFITM1,12
UBB,12
HNRNPL,12
DOCK8,11
CCR7,11
LCP2,11
SQRDL,11
TMEM66,10
HIST2H2AA3,10
SLC25A6,10
NR4A2,9
ARPC1B,9
IFITM3,9
UBC,9
NXF1,9
HNRNPU,9
TNRC6B,9
NAGA,9
ZNF814,8
BCL2L1,8
DPP8,8
SMG1,8
CD6,8
TMA7,8
ANXA2,8
RNASEK,7
RAC2,7
MECP2,7
RP11-166B2.1,7
HLA-C,7
CSNK1A1,7
IL4R,7
LCP1,7
ANKRD44,7
PHC3,7
RUNX3,7
HLA-G,7
TULP4,7
CCL5,6
RBM39,6
LIMD2,6
FAU,6
CXCR4,6
PDCD4,6
APEH,6
PSME1,6
NKG7,6
UBE2G2,6
DDX5,6
BIRC3,6
B2M,6
SRGN,6
YWHAZ,5
ZNF746,5
GNG2,5
CTBP1,5
HNRNPLL,5
VMP1,5
ZNF207,5
APOL2,5
RBM6,5
TNFAIP3,5
TAPBP,5
OASL,5
CTSC,5
POLR2A,5
HNRNPA1,5
EZR,5
STAT1,5
FOSL2,5
C6orf62,5
NDUFA11,5
MOAP1,5
CECR1,5
PSMB8,5
EIF3A,5
RNF213,5
RP11-347C12.1,5
EEF2,5
SAR1A,5
S100A10,5
CAPZA1,5
LDHA,5
DDX24,5
ATRX,5
SUMO2,5
NPIPB3,5
SEC23A,5
COX4I1,5
TPT1,5
HNRNPA2B1,5
ARGLU1,5
WHSC1L1,5
AL592284.1,5
AHNAK,5
VPS36,5
SERP1,4
MT2A,4
TMSB4X,4
HIPK1,4
SRP14,4
SERPINB9,4
WARS,4
ZFP36L2,4
PFDN5,4
DPYD,4
POU2F2,4
EIF2S3,4
XAF1,4
ILF3,4
MYH9,4
CLIC1,4
EIF5A,4
GUK1,4
RASGEF1B,4
UBE2F,4
CD58,4
USP36,4
H3F3B,4
AKAP9,4
MBNL1,4
CCNDBP1,4
CST7,4
C14orf166,4
HSPH1,4
VIMP,4
PTPRC,4
HNRNPDL,4
SHISA5,4
JUNB,4
ZMAT5,4
PPP1R15A,4
RICTOR,4
MKLN1,4
SLC20A1,4
NAP1L1,4
DUSP1,4
NRD1,4
IQGAP1,4
JUN,4
SSH2,4
CTNNB1,4
FNBP1,4
PRF1,4
SLC35E2,4
GNB2L1,4
PKM,4
RAD54L2,4
EIF1,4
RABGAP1L,4
PARP14,4
CD53,4
NBEAL1,4
GIGYF1,4
NGLY1,4
MAP1LC3B,4
SAFB2,4
CSNK2A2,4
MYL6,4
SH3BGRL3,4
MYADM,4
STK17B,4
CCL4,4
ATP5G2,4
ANKRD12,4
PRKCB,4
PGAM1,4
AES,4
EIF4A1,4
HLA-DRB1,4
TRIM22,4
CELF2,3
CYTH1,3
JMY,3
CTSW,3
GPX1,3
YTHDF2,3
APOBEC3C,3
MVP,3
BZW1,3
DDHD1,3
TXNIP,3
SF3B1,3
HMGN3,3
IER2,3
TMEM50B,3
H2AFZ,3
CXCR5,3
ATP5D,3
LAPTM5,3
NEMF,3
BTG2,3
ATP5F1,3
CACYBP,3
TPP1,3
KLF6,3
PSMA5,3
PYHIN1,3
TTC31,3
CD69,3
TAP1,3
EMP3,3
CD37,3
AZIN1,3
MTF2,3
HSPA1A,3
PGK1,3
PTPN1,3
PDS5A,3
NOP58,3
SRSF3,3
CIB1,3
SH3BGRL,3
TMED4,3
AHR,3
RGPD5,3
CBLB,3
ITGA4,3
IRF9,3
HLA-A,3
MSN,3
SLC2A14,3
IK,3
WDR1,3
HNRNPH3,3
ZFAND5,3
STK4,3
EIF4G3,3
CYTH4,3
COTL1,3
SURF4,3
RNF19A,3
SON,3
MYL12A,3
DOK2,3
TAGLN2,3
RSBN1,3
TTC3,3
CD52,3
TXN,3
C5orf15,3
PHIP,3
EML4,3
PRR13,3
CASP2,3
IQSEC1,3
NRBP1,3
S100A6,3
ITGB2,3
SQSTM1,3
TMBIM6,3
TGFBI,3
DUSP4,3
BCLAF1,3
PSME2,3
SHC1,3
IRF1,3
EIF3F,3
LITAF,3
OXA1L,3
TMED2,3
FNBP4,3
ATP6V0D1,3
HTATIP2,3
CDC42SE2,3
GPR56,3
PIP4K2A,3
ATP5B,3
LRRFIP1,3
CHCHD3,3
CAP1,3
DNAJB14,3
ATXN7,3
ALDOA,3
PFKL,3
PTPN7,3
CD38,3
SAT1,3
AHSA1,3
DNAJB1,3
ITSN2,3
BTN3A2,3
CFLAR,3
ARPC2,3
RPP21,3
RNF10,3
MTA2,3
UTP18,3
ITGB1,3
VPS13C,3
NPM1,3
CPNE1,3
ARID5B,2
SRP72,2
PHPT1,2
YME1L1,2
IL16,2
CLEC2B,2
PDPK1,2
PPP2R5C,2
PARK7,2
VDAC1,2
SPDYE2,2
RBMX,2
ZNF721,2
ITM2B,2
PAIP2,2
SRSF5,2
PNISR,2
KDM2A,2
TMEM219,2
COA3,2
FTL,2
PDE4D,2
NUDT21,2
SET,2
RTN4,2
ANKHD1,2
NACA,2
HINT1,2
TTC19,2
IL2RB,2
RBL2,2
CLN3,2
SLC5A3,2
OAZ1,2
GOLGA8A,2
MAP2K3,2
SLFN5,2
PPP6R3,2
SRP9,2
TC2N,2
CD81,2
ECE1,2
CRTC2,2
SUPT5H,2
TOMM7,2
C2orf68,2
BIRC6,2
GIMAP4,2
KIAA0226,2
ATP2A3,2
GPATCH8,2
CD164,2
