,Feature,Importance
2187,EZR,0.0015075628
4020,RPAP2,0.0015037582
174,DPP7,0.0014974306
9836,UBE2J2,0.001491428
8904,COPE,0.0014897814
2720,SF3A1,0.0014750089
5343,ST3GAL1,0.0014743241
5956,NR4A2,0.0014640251
5479,FRG1B,0.0014423372
8075,BLOC1S2,0.0014333078
5178,KATNA1,0.0014252635
9880,MX1,0.0014228569
3833,SEC24C,0.0014101154
5599,YPEL5,0.0014094516
5723,TAGLN2,0.0014049506
4365,CHORDC1,0.0013950554
8544,ATG3,0.0013899604
629,MYO1F,0.0013847069
3839,IFI6,0.0013839806
2367,NUDCD1,0.0013807544
255,CREBZF,0.0013730177
4401,DGKA,0.0013686848
6588,PTMA,0.0013482089
3552,HLA-B,0.0013414474
7545,EFCAB14,0.0013368344
889,MAN2B1,0.0013316161
8079,SHISA5,0.0013261731
636,TAPBP,0.0013231941
1652,TTC3,0.0013222131
3228,MOB4,0.0013214373
8007,ECH1,0.0013213982
3719,SERPINB9,0.0013177047
3618,APOBEC3G,0.001314355
9249,RBM39,0.0013112064
5117,RGPD1,0.0013078091
61,CUTA,0.0013034542
5972,ZFX,0.0012746806
5547,URM1,0.0012595898
156,DLST,0.0012519096
7299,HSH2D,0.0012474078
9346,RGL2,0.0012392608
908,NUP153,0.0012383338
521,TULP4,0.0012279279
8617,PTP4A1,0.0012269214
2063,POLR3A,0.0012256439
2742,RICTOR,0.0012192427
2154,CHTF8,0.0012179179
3787,HEBP1,0.0012176046
5928,CNN2,0.0012078645
3819,MBD2,0.0012024038
6800,SUCO,0.0011992942
350,IER2,0.0011849152
4644,EIF3L,0.0011833885
6399,RAP1B,0.0011763038
9802,AHNAK,0.0011763006
8031,SEC16A,0.0011752794
3133,ID2,0.0011723064
3167,RFX5,0.0011716756
9282,NASP,0.0011569388
9903,H3F3B,0.0011441034
2675,VIM,0.0011421066
3782,NSUN2,0.0011391101
4614,RUNX3,0.0011336332
2564,IFITM1,0.0011215352
8461,TMED4,0.0011208692
10045,MSTO1,0.0011091833
2934,GLS,0.0011036335
6521,POLR2J3,0.0010989672
4308,NPIPB3,0.0010955586
8322,GAK,0.0010906074
1037,PZP,0.0010809161
1099,USP8,0.001076822
5030,MKLN1,0.0010756537
2112,BRD7,0.0010742678
169,GOLPH3,0.001070562
844,CASP2,0.0010622754
881,ATP8B2,0.0010479287
399,SRSF3,0.0010463275
8186,BIN2,0.001044573
2020,C7orf49,0.0010412995
7715,TOX4,0.0010412536
4740,PHC3,0.0010373354
1475,CDK6,0.0010372339
675,GRB2,0.0010364854
8427,OFD1,0.0010291205
9860,RAB3GAP1,0.0010204053
6403,HLA-DRB1,0.0010152139
2879,TMSB10,0.0010126209
1702,WDR45,0.0010110524
9528,CLDND1,0.0010100568
2958,XCL2,0.0010049501
52,SRI,0.001003121
7017,LAMTOR5,0.0010024256
9200,PSMB1,0.0010007251
8801,USF2,0.0009953079
3028,USP4,0.0009895685
8304,GSTK1,0.0009893976
8354,ADRBK1,0.0009815171
8276,ZNF587,0.0009806517
4756,H2AFY,0.0009799812
8228,GBP2,0.0009799759
4663,ANAPC13,0.0009759336
9716,ZNF821,0.0009727374
888,ELMSAN1,0.0009717491
4732,SUMO2,0.0009689564
