Feature,Importance
GAPDH,38
IFITM2,31
HLA-B,20
SLC38A1,19
XAF1,18
ZFP36L2,17
UBC,16
STAT1,14
NR4A2,14
MYO1F,14
GZMH,13
SRSF6,13
CLIC1,12
RBM39,12
TMSB10,12
SH3BGRL,12
RALGAPA1,11
UBA52,11
TSPYL1,11
CCL4,10
B2M,10
KLF6,10
IFITM1,10
MT2A,9
DOCK8,9
KIAA1551,9
ALKBH7,9
ATP6V0D1,9
SIK1,9
LCP1,8
IRS2,8
HNRNPL,8
EIF1,8
HLA-DQA2,8
HCST,8
PSMB8,8
C2orf68,8
CD74,7
SRSF11,7
CXCR4,7
CADM1,7
TPT1,7
ARHGAP25,7
BCL2L1,7
TMEM59,7
CHORDC1,7
PSMB9,7
BRK1,7
UBXN11,7
RHOH,7
FAM49B,7
HLA-DRB1,7
ZBTB1,7
CCR7,7
CELF1,6
WARS,6
WIPF1,6
CLDND1,6
BIRC3,6
XXbac-BPG181M17.5,6
AHNAK,6
SRGN,6
ITGA4,6
HIST2H2AA3,6
CDC26,6
ARF1,6
SON,6
TPP1,6
TAGAP,6
CAPZA1,6
USP9X,6
NGLY1,6
ELF2,5
MYL6,5
HNRNPA1,5
WTAP,5
TMEM66,5
DNAJB11,5
SRSF5,5
PAN3,5
IFI6,5
TMC6,5
CTSW,5
DDX3X,5
NKG7,5
TAF7,5
KMT2E,5
LAMTOR4,5
C1orf56,5
CD69,5
EEF1G,5
PRKCB,5
GABARAP,5
ZNHIT1,5
PIP4K2A,5
ARPC1B,5
EIF4A2,5
EEF1D,5
ZBTB5,5
BTF3,5
ANXA6,5
SUN2,5
HLA-DRB5,5
IER2,5
TMA7,5
ATP5D,5
CECR1,5
RBM8A,5
PSIP1,5
HSPA1B,5
PTPRC,5
BTG2,5
LSP1,5
UNC13D,5
TMED4,5
EIF5,5
IFRD1,5
HLA-DPB1,5
PSME1,4
HLA-E,4
MAP4K1,4
ACTG1,4
VPS54,4
DPP7,4
EEF1A1,4
RAD54L2,4
CELF2,4
SEC23A,4
RAN,4
XPNPEP1,4
PKM,4
UBE2K,4
FAU,4
PDCD4,4
EZR,4
SHISA5,4
MKLN1,4
YEATS2,4
LDHB,4
SLMO2,4
BCLAF1,4
SRSF2,4
TNRC6B,4
OSTF1,4
GNAS,4
IQSEC1,4
ACAT1,4
MAPK1IP1L,4
EML4,4
RARRES3,4
MIER1,4
SNRNP200,4
MTA2,4
HLA-G,4
DUSP4,4
CLEC2D,4
PIGG,4
CREBZF,4
RBMX,4
IRF1,4
RUNX3,4
SH3BGRL3,4
NACA,4
CLK1,4
STK17B,4
RAC2,4
CRTAM,4
SPSB3,4
RHOF,4
PI4KA,4
PFKP,4
CDV3,4
TCF3,4
SUMO2,4
GDI1,4
FOS,4
NFKBIA,4
ATP6V1F,4
AES,4
PSMB10,4
RASGEF1B,3
XPO1,3
CHP1,3
DNAJB1,3
ANXA2,3
TNFAIP3,3
HNRNPU,3
ARPC3,3
RBM6,3
NPIPB4,3
CHD2,3
HERC2,3
MYD88,3
HLA-A,3
RNF213,3
EIF3K,3
CBWD6,3
GPR108,3
SMG1,3
MPV17L,3
SERPINB1,3
ID2,3
HMGN2,3
CD38,3
RFFL,3
SEC62,3
HLA-F,3
FAIM3,3
PDPR,3
WDR1,3
PIK3R5,3
PITRM1,3
SLC25A6,3
EEF2,3
SUV420H2,3
STK4,3
ARPC4,3
DBNL,3
LENG8,3
DENND2D,3
C12orf65,3
NPIPA1,3
YWHAZ,3
CFL1,3
SNRPC,3
EDF1,3
VMP1,3
CD8A,3
ARID4B,3
TTN,3
EIF2S3,3
AC008964.1,3
RMND5A,3
SKP1,3
ANXA5,3
JUN,3
CENPC,3
EMB,3
SPCS2,3
PARP8,3
TAPBP,3
BTN3A2,3
HNRNPC,3
IWS1,3
NONO,3
RNASEK,3
RC3H1,3
DNAJB6,3
TMSB4X,3
ZFP36,3
TOB1,3
CCL5,3
RGPD6,3
CPT1B,3
ATP5G2,3
ATP5E,3
SSH2,3
BTG1,3
CYB561D2,3
DCAF7,3
SSR1,3
CCL4L1,3
H3F3B,3
NARF,3
CTBP1,3
PIAS1,3
RNF4,3
PER1,3
SNRPF,3
POLR2E,3
ZSWIM4,3
APOBEC3G,3
NFKBIZ,3
CHMP4A,3
KIAA1468,3
PTMA,3
TAP1,3
TTC14,3
DNAJC19,3
IFITM3,3
TTC39C,3
CD2BP2,3
UBE2D3,3
C17orf70,3
HNRNPDL,3
LY6E,3
ADRBK1,3
PFN1,3
WNK1,3
PAFAH1B2,3
CD19,3
CFLAR,3
DUSP1,3
FTH1,3
OPA3,3
WEE1,3
RAP1A,3
HSP90AA1,3
MX1,3
FAM46C,3
HNRNPK,3
INO80E,3
IL32,3
CBX3,3
ATF7IP,3
NPIPB5,3
ZNF292,3
BCL6,3
PSMA6,3
SMARCC2,3
LRPAP1,3
MKRN1,3
UBB,3
DDX5,3
NRBP1,3
C19orf66,3
TLE3,2
SERPINB9,2
HNRNPA0,2
ZAP70,2
LMNA,2
PPP1CA,2
HERPUD1,2
EXOSC8,2
GSTP1,2
ITGB1,2
EIF3L,2
COPA,2
SUDS3,2
TPP2,2
ARL4C,2
HLA-DQB1,2
IQGAP1,2
EHD1,2
CAPN2,2
SRP9,2
NUP88,2
C6orf62,2
KCTD13,2
SCYL1,2
HINT1,2
MAP2K3,2
SUPT5H,2
UBE2B,2
UCP2,2
NHP2L1,2
LPP,2
GBP5,2
FOSB,2
CST7,2
CHD1,2
OSTC,2
LRRC37A2,2
DNAJC1,2
TCF7,2
EIF3M,2
ARHGDIA,2
DPY30,2
NLRC5,2
ZNF280D,2
PSMD8,2
PPP2R5C,2
HM13,2
PSMA4,2
C6orf48,2
OAZ2,2
UBA6,2
TRAF1,2
CEBPZ,2
GPR183,2
SERF2,2
