Feature,Importance
GAPDH,44
IFITM2,35
HLA-B,26
HLA-C,22
TMSB10,19
TMEM66,16
IL32,16
CDC26,15
CDC73,14
IFITM1,14
SLC38A1,13
RALGAPA1,12
PRKACB,12
UBC,12
GZMH,12
LAMTOR4,12
SQRDL,11
STAT1,11
TPT1,10
TRA2A,10
HLA-G,10
SERPINB9,9
IRF1,9
XAF1,9
NPIPB5,9
RHOH,9
NXF1,8
AHNAK,8
EEF1A1,8
UBE2J2,8
CD55,8
USP9Y,8
PRF1,8
MYL12A,8
ZFP36,7
NR4A2,7
RBMX,7
NELFCD,7
RBM39,7
DOCK8,7
TAGLN2,7
SHISA5,7
EIF4A2,7
ENO1,7
RUFY2,7
CAPZA1,7
FAM49B,7
UBL7,7
ITGA4,7
CD38,7
ATXN1,7
BRK1,7
TULP4,7
AES,6
ITGB2,6
RNF213,6
GPR108,6
VPS54,6
C16orf54,6
IQSEC1,6
ARGLU1,6
HSPA1A,6
PRRC2C,6
PDCD1,6
CALHM2,6
S100A6,6
ZFP36L2,6
PPIA,6
HNRNPK,6
TNRC6B,6
PCIF1,6
TMED4,5
IL2RG,5
C1orf56,5
SAT1,5
NOL8,5
SH2D2A,5
ISG15,5
APOBEC3C,5
WARS,5
LDHA,5
SH3BGRL3,5
EML4,5
LCP1,5
MKLN1,5
CLIC1,5
HLA-DQB2,5
CORO1A,5
TMA7,5
DDX5,5
PFN1,5
SCAF4,5
SND1,5
NCL,5
ANKRD44,5
MAPRE1,5
ARPC1B,5
BCL2L1,5
NAP1L1,5
ZYX,5
EMB,5
ITGAL,5
DUSP4,5
OST4,5
ITM2B,5
COX6A1,5
SEC11A,5
CAP1,5
PTPRC,5
SRGN,5
PRKCB,5
MT2A,5
ATP6V0D1,4
HNRNPDL,4
ELK4,4
SRP14,4
MCL1,4
CLDND1,4
NHP2L1,4
KMT2E,4
HSPA5,4
EIF2AK2,4
EZH2,4
SRSF5,4
CD74,4
NAPA,4
GBP2,4
ARHGAP4,4
COX7A2L,4
SRSF6,4
TRAPPC1,4
SAFB2,4
CCL4L2,4
B2M,4
WTAP,4
GNB2L1,4
STAM,4
PDCD4,4
PPP2R5C,4
CALR,4
ZGPAT,4
IDS,4
RHOF,4
HNRNPA2B1,4
SAR1A,4
FOSB,4
CCR7,4
DDX17,4
FAR1,4
HNRNPL,4
FTL,4
AKAP2,4
MAP1LC3A,4
RBM6,4
SSR2,4
NCBP1,4
CALM1,4
HLA-E,4
SYNGR2,4
C12orf10,4
PPP6R3,4
CD44,4
CD82,4
BRD2,4
SLC7A6,4
NBEAL1,4
EIF1,4
IQGAP1,4
BZW1,4
MAP4K1,4
DUSP2,4
GPI,4
RP11-347C12.1,4
CHORDC1,3
LY9,3
JAK1,3
USP15,3
ATP1A1,3
SLFN12L,3
DAZAP2,3
TMC6,3
EIF5,3
GZMA,3
DCP2,3
NPIPB11,3
HLA-DRB1,3
DNAJB6,3
MCRS1,3
HSP90AA1,3
NBPF11,3
PPP1R15A,3
PKM,3
RAB1A,3
